# HeaderRows_4
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
k600; meters_per_day; N/A; Calculated using (1) depth (2) flow (3) velocity and (4) slope as inputs for the Raymond et al. (2012) table 2 equation 7.
Site_ID,k600
C21,56.22
S01,64.04
S02,30.72
S03,55.99
S04,284.67
S08,28.91
S10,53.86
S11,54.51
S15,177.03
S17R,54.01
S18R,55.07
S22RR,6.33
S23,19.14
S24,43.07
S29,37.53
S30R,26.8
S31,28.6
S32,13.43
S34R,2.75
S36,4.95
S37,39.12
S38,35.4
S39,46.75
S41R,28.93
S42,22.76
S43,9.58
S45,56.74
S47R,80.72
S48R,76.33
S49R,42.45
S50P,12.72
S51,28.72
S52,36.08
S53,214.52
S54,48.25
S55,35.13
S56,31.66
S57,30.05
S58,35.74
S63,41.49
T02,3.99
T03,8.4
T05P,25.77
T07,7.74
T41,27.16
U20,11.43
W10,26.34
W20,33.66
