Parent_ID,Site_ID,daysofdata,ERdailymeanmean_gO2/m2day,GPPdailymeanmean_gO2/m2day,K600dailymeanmean_m/day,mean_depth_m,ERdailymeanmean_gO2/m3day,GPPdailymeanmean_gO2/m3day,K600vsERrsq,K600vsERp,ER_removed,GPP_removed
SSS001,S63,32,-9999,-9999,-9999,0.2325,-9999,-9999,-9999,-9999,0,0
SSS002,S30R,32,-3.839337418,5.036470426,20.5881475,0.258529044,-14.85070054,19.48125573,0.10710042,0.067499323,0,0
SSS003,S31,32,-1.089054082,1.425085062,28.92862162,0.296679151,-3.67081434,4.803455373,0.092955309,0.089745395,0,0
SSS004,S55N,32,-0.632457101,1.803900517,30.46777249,0.120672688,-5.241095674,14.9487059,0.144420192,0.031916763,0,0
SSS005,S57,17,-4.110023372,7.613622468,7.065885629,1.683744518,-2.441001785,4.521839501,0.256547802,0.038006464,0,0
SSS006,S56N,32,-3.853872119,4.787949542,22.96168857,0.27540591,-13.99342564,17.38506463,0.511490184,4.23E-06,1,1
SSS007,S53,32,-9999,-9999,-9999,0.234532666,-9999,-9999,0.945399193,1.69E-20,32,32
SSS008,S52,32,-1.616353793,0.601876608,21.86695355,0.228131076,-7.08519779,2.63829295,0.012288301,0.545847335,0,0
SSS009,S45,32,-0.52559698,1.083995201,75.79775531,0.377283835,-1.393107607,2.873155703,0.763694082,6.55E-11,0,0
SSS010,S10,31,-0.435419831,3.669123585,81.50704242,0.289689972,-1.503054554,12.66569072,0.04029191,0.278919947,13,13
SSS011,S04,31,-9999,-9999,-9999,0.206434673,-9999,-9999,-9999,-9999,23,23
SSS012,S50P,31,-1.093274781,4.385457033,29.26494821,0.523353369,-2.088980114,8.379533393,0.050552025,0.223968025,0,0
SSS013,T07,32,-4.698729926,6.978020871,4.278322069,0.427416567,-10.99332662,16.3260421,0.004367986,0.719307538,0,0
SSS014,T02,32,-19.30302385,24.92604706,2.339081776,3.02872818,-6.373310085,8.229872602,0.230411089,0.005431145,0,0
SSS015,T03,32,-10.3419182,12.60388611,8.079258608,1.722562657,-6.003797979,7.316939133,0.480569023,1.09E-05,0,0
SSS016,T42,25,-9999,-9999,-9999,0.585100309,-9999,-9999,-9999,-9999,9,9
SSS017,S58,32,-3.541373492,12.73572005,26.59435828,0.716747739,-4.940892448,17.76876208,0.426004642,5.15E-05,0,0
SSS018,S08,32,-7.803733254,1.186969623,18.36340217,0.320200125,-24.37142475,3.706961772,0.147764447,0.029838641,0,0
SSS019,S03,32,-0.39475774,0.291002528,29.95276801,0.161434375,-2.445314016,1.802605722,0.131797493,0.041129449,0,0
SSS020,T05P,32,-3.433894703,3.545890955,31.50606398,0.42612015,-8.058512844,8.321340715,0.801388986,4.73E-12,0,0
SSS021,S24,31,-1.525902693,2.627543964,25.82163183,0.462938943,-3.296120827,5.675789435,0.367843733,0.000298246,0,0
SSS022,S15,31,-9999,-9999,-9999,0.119196457,-9999,-9999,-9999,-9999,31,31
SSS023,U20,31,-4.933671073,0.401633532,10.56984366,0.150351155,-32.81432113,2.671303274,0.150621419,0.030973016,0,0
SSS024,W20,32,-3.608182127,3.870725747,23.38317299,0.145500939,-24.79834251,26.60275437,0.604999349,1.62E-07,0,0
SSS025,S34R,32,-17.9590087,17.75353751,4.115266941,0.749715891,-23.95441915,23.68035373,0.078856506,0.119509103,0,0
SSS026,S36,32,-14.88612478,16.53818067,4.254895325,0.555467042,-26.7992944,29.77346887,0.2892571,0.001499763,0,0
SSS027,S32,32,-4.056484624,4.379558682,20.05866255,0.300334584,-13.50655182,14.58226562,0.308830634,0.000959744,0,0
SSS028,S42,25,-9999,-9999,-9999,0.141681671,-9999,-9999,-9999,-9999,0,0
SSS029,S41R,32,-3.248523224,1.830844066,23.04874604,0.371848608,-8.736144639,4.923627591,0.122918354,0.04914628,0,0
SSS030,S43,32,-4.611291577,6.038739598,10.15389981,0.324584635,-14.20674636,18.60451467,0.177687481,0.016268242,0,0
SSS031,S47R,32,-0.940056238,2.501577166,31.87220936,0.479129618,-1.962008196,5.221086469,0.045781962,0.239633138,0,0
SSS032,C21,32,-0.563423207,0.232796739,16.63358313,0.280497497,-2.00865681,0.829942303,0.032134718,0.326250719,0,0
SSS033,S48R,32,-9999,-9999,-9999,0.277654051,-9999,-9999,-9999,-9999,28,28
SSS034,S18R,32,-9999,-9999,-9999,0.543529228,-9999,-9999,-9999,-9999,32,32
SSS035,S17R,30,-1.812063953,1.058506681,24.21908278,0.409060424,-4.42981977,2.587653605,0.40899458,0.000141885,0,0
SSS036,W10,32,-1.130380038,0.493491415,15.50894893,0.141673431,-7.97877223,3.483302487,0.051046252,0.21372764,0,0
SSS037,S39,32,-0.650121974,0.437796055,24.09278864,0.161935484,-4.014697447,2.703521455,5.63E-05,0.967477719,0,0
SSS038,S38,32,-1.152114641,-0.1907679,4.118095243,0.078060075,-14.75933299,-2.443860067,0.067323653,0.151551979,1,1
SSS039,S37,32,-0.81277564,0.955513131,30.92816513,0.190653533,-4.263102945,5.011777717,0.469605893,1.51E-05,0,0
SSS040,S54,32,-9999,-9999,-9999,0.472682088,-9999,-9999,-9999,-9999,32,32
SSS041,S49R,32,-0.120787923,3.558260486,44.29789776,0.46822243,-0.257971244,7.599508811,0.013424115,0.527731211,3,3
SSS042,S51,32,-9999,-9999,-9999,0.450249766,-9999,-9999,-9999,-9999,30,30
SSS043,S11,32,-1.836432437,1.930221037,23.93931774,0.526825447,-3.485846117,3.663872066,0.233269648,0.005110677,0,0
SSS044,S02,32,-9999,-9999,-9999,0.57273325,-9999,-9999,-9999,-9999,10,10
SSS045,S01,32,-9999,-9999,-9999,0.332204823,-9999,-9999,-9999,-9999,31,31
